Food_ID,Food Name and Description,Scientific Name,Alternate/Common Name(s),Edible Portion,Energy (kcal),Protein (g),Fat (g),Carbs (g)
R070,"Soup, chicken & veg, cnd",N/A,N/A,100%,33,1.2,0.3,6.3
R071,"Soup, chicken & veg, cond, cnd",N/A,N/A,100%,60,2.0,3.4,5.4
R072,"Soup, chicken noodle, cnd",N/A,N/A,100%,49,2.6,1.6,6.0
R073,"Soup, corn potage, cond, cnd",N/A,N/A,100%,92,3.5,0.4,18.7
R074,"Soup, cream of asparagus, cond, cnd",N/A,N/A,100%,79,1.8,4.2,8.5
R075,"Soup, cream of chicken, cond, cnd",N/A,N/A,100%,62,2.5,2.0,8.4
R076,"Soup, cream of mushroom, cnd",N/A,N/A,100%,102,1.7,6.7,8.7
R077,"Soup, mungbean w/ shrimp, ckd",N/A,N/A,100%,50,3.1,0.5,8.3
R078,"Soup, noodles & beef, cond, cnd",N/A,N/A,100%,55,1.9,2.3,6.7
R079,"Soup, pansit molo, cond, cnd",N/A,N/A,100%,54,2.4,2.4,5.6
R081,"Soup, sotanghon, cond",N/A,N/A,100%,27,0.8,1.4,2.8
R082,"Soup, turkey noodle, cnd",N/A,N/A,100%,42,2.4,0.4,7.3
R083,"Soup, veg alphabet, cnd",N/A,N/A,100%,69,2.0,1.4,12.0
R084,"Soup, veg, cond, cnd",N/A,N/A,100%,25,1.1,0.4,4.2
R085,"Soup, vermicelli & chicken, cond, cnd",N/A,N/A,100%,38,1.3,1.2,5.5
R086,"Pork & beans, cnd",N/A,N/A,100%,105,4.7,1.8,17.6
R088,"Hotcake, prep, w/ MLP",N/A,N/A,100%,242,5.3,7.1,39.3
R089,"Polvoron, prep, w/ MLP",N/A,N/A,100%,497,9.2,23.4,62.3
R090,"Gelatin drink, w/ MLP",N/A,Jello almond w/ MLP,100%,63,0.9,0.8,13.0
R091,"Ice candy, prep, w/ MLP",N/A,Frozen refreshment w/ MLP,100%,96,1.4,1.1,20.1
R092,"Yacon shake, prep",N/A,Yacon cooler,100%,77,0.2,0.2,18.7
R093,"Carbonara, prep, w/ MLP",N/A,N/A,100%,148,5.5,6.4,17.2
R094,"Fruit salad, prep, w/ yacon",N/A,Yacon salad twister,100%,62,0.4,0.3,14.3
R095,"Macaroni salad, prep, w/ yacon",N/A,Yacon macaroni salad,100%,191,3.4,14.9,10.7
